,CustomerID,pfm_spent,fm_nb_orders,fm_nb_items,fm_total_spent,fm_used_coupon,first_order_month,fm_purchased_accessory,first_item_size,accepts_marketing,wealthy_zip,region,first_item_price_range
7711,Anonymous10869,0.0,1,1,25.0,0,10,1,No size,0,0,NE,low
7712,Anonymous10867,0.0,1,2,90.0,0,8,0,XS,0,0,NE,high
7713,Anonymous10901,0.0,1,1,45.0,1,1,0,M,0,1,NE,high
7714,Anonymous10851,0.0,1,1,45.0,1,7,0,S,0,0,MW,high
7715,Anonymous10839,0.0,1,2,90.0,0,2,0,M,0,1,MW,high
7716,Anonymous10840,0.0,1,1,15.0,0,9,1,No size,0,0,W,low
7717,Anonymous10841,0.0,1,1,35.0,0,10,0,S,0,0,W,medium
7718,Anonymous10846,0.0,1,2,90.0,0,2,0,M,0,0,MW,high
7719,Anonymous10847,0.0,1,1,45.0,0,8,0,M,0,1,MW,high
7720,Anonymous10854,0.0,1,1,40.8,1,10,0,L,0,0,S,high
7721,Anonymous10858,0.0,1,1,25.0,0,6,1,No size,0,0,NE,low
7722,Anonymous10859,0.0,1,1,36.0,1,8,0,M,1,0,S,high
7723,Anonymous10860,0.0,1,5,160.0,0,11,1,No size,0,0,S,low
7724,Anonymous10865,0.0,1,1,48.0,0,6,0,S,0,0,S,high
7725,Anonymous10900,0.0,1,1,48.0,0,7,0,S,0,1,W,high
7726,Anonymous10968,0.0,1,4,134.3,1,7,0,M,0,0,W,medium
7727,Anonymous10954,0.0,1,3,106.0,0,1,0,L,0,1,NE,low
7728,Anonymous10942,0.0,1,2,96.0,0,5,0,S,0,0,S,high
7729,Anonymous10944,0.0,1,1,37.0,0,7,0,S,0,0,S,medium
7730,Anonymous10945,0.0,1,6,203.0,0,7,1,S,0,0,W,high
7731,Anonymous10946,0.0,1,1,35.0,0,9,0,S,0,0,NE,medium
7732,Anonymous10947,0.0,1,1,42.0,0,7,0,M,0,1,NE,medium
7733,Anonymous10950,0.0,1,1,40.0,0,6,0,XL,0,1,S,high
7734,Anonymous10951,0.0,1,1,42.5,1,8,0,XL,1,0,S,high
7735,Anonymous10955,0.0,1,1,45.0,0,11,0,XL,0,0,W,high
7736,Anonymous10936,0.0,1,1,15.0,0,12,1,No size,0,0,W,low
7737,Anonymous10957,0.0,1,2,80.0,0,8,0,XS,0,0,W,medium
7738,Anonymous10958,0.0,1,1,35.0,0,9,0,L,1,0,MW,low
7739,Anonymous10960,0.0,1,1,36.0,1,4,0,S,0,0,W,high
